restaurant_id,cuisine_type
1,Burgers
1,American
1,Sandwiches
2,Coffee and Tea
2,Breakfast and Brunch
2,Bubble Tea
3,American
3,Cheesesteak
3,Sandwiches
3,Alcohol
4,Pizza
5,Breakfast and Brunch
5,Burgers
5,Sandwiches
6,Seafood
6,Sushi
6,Steak
7,Sushi
7,Asian
7,Japanese
8,Vegetarian
8,Asian
8,Asian Fusion
8,Chinese
8,Indian
8,Healthy
9,Seafood
9,Fast Food
9,Fish and Chips
9,American
10,Desserts
10,Vegetarian
10,Coffee and Tea
11,Desserts
11,Ice Cream + Frozen Yogurt
12,Ice Cream &amp; Frozen Yogurt
12,Comfort Food
12,Desserts
13,Burgers
13,Fast Food
13,American
13,Comfort Food
13,Diner
13,Chicken
14,Breakfast and Brunch
14,salad
14,Sandwich
14,Family Meals
14,Pizza
14,Healthy
14,American
14,Chicken
15,Indian
15,Vegetarian
15,Pakistani
15,Chicken
15,Indian Curry
16,Ice Cream &amp; Frozen Yogurt
16,Comfort Food
16,Desserts
17,Halal
17,Chicken
17,Wings
18,Pizza
19,Middle Eastern
19,Mediterranean
19,Vegetarian
19,Greek
19,Healthy
20,American
20,Burgers
20,Sandwich
21,Juice and Smoothies
21,Bubble Tea
21,Healthy
21,Fruit
22,Caribbean
22,Cuban
22,Coffee and Tea
22,Breakfast and Brunch
23,Juice and Smoothies
23,Drinks
23,Comfort Food
24,Bakery
24,Desserts
25,Wings
25,Burgers
25,Sandwiches
26,Seafood
26,Sushi
26,Steak
27,Italian
27,Exclusive to Eats
28,Mexican
28,Breakfast and Brunch
28,Burritos
29,Wings
29,Burgers
29,BBQ
30,American
30,Comfort Food
31,Black-owned
31,Burgers
31,Comfort Food
31,Wings
31,Exclusive to Eats
32,Ice Cream &amp; Frozen Yogurt
32,Comfort Food
32,Desserts
32,Exclusive to Eats
33,Salads
33,Sandwich
33,Wings
33,Burgers
33,Seafood
33,Healthy
33,Black-owned
34,Hot Dog
35,Bakery
35,Breakfast and Brunch
35,Cafe
35,Coffee &amp; Tea
36,Mexican
36,Fast Food
36,Salads
36,Healthy
37,Mexican
37,Breakfast and Brunch
37,Burritos
38,Salads
38,Vegetarian
38,Bowls
39,Vegan
39,Healthy
39,Vegetarian
40,pizza
41,Sandwich
41,Salads
41,Healthy
41,Family Meals
42,Sandwich
42,Deli
43,Burritos
43,Fast Food
43,Mexican
44,Bakery
44,Desserts
44,Exclusive to Eats
45,Indian
45,Pasta
45,Pizza
46,Vegetarian
46,Vegan
46,Indian
46,Pakistani
46,Indian Curry
47,Indian
47,Vegetarian
47,Asian
47,Healthy
48,Chinese
48,Comfort Food
49,Italian
49,Pasta
49,Comfort Food
50,Healthy
50,Sandwich
50,Soup
51,Chinese
51,Chicken
51,Noodles
52,Indian
52,Vegetarian
52,Vegan
52,Indian Curry
52,Healthy
53,French
53,Pizza
53,Salads
53,Sandwich
53,Healthy
53,Desserts
54,Indian
54,Vegetarian
54,Asian
54,Healthy
55,Sushi
55,Asian
55,Japanese
56,Chinese
56,Seafood
56,Noodles
57,Chinese
57,Asian
57,Cantonese
58,Chinese
58,Asian
58,Asian Fusion
59,Sushi
59,Asian
59,Japanese
60,Pizza
61,Chinese
61,Vegetarian
61,Soup
62,Chinese
62,Asian
63,Mexican
63,Seafood
64,Asian
64,Seafood
64,Noodles
65,Indian
65,Vegetarian
65,Asian
66,Mediterranean
66,Greek
66,Vegetarian
67,Asian
67,Chicken
67,Chinese
68,Mexican
68,Salads
68,Tacos
69,Chinese
69,Asian
69,Asian Fusion
70,Japanese
70,Chinese
70,Asian
71,Indian
71,Vegetarian
71,Asian
71,Healthy
72,Mediterranean
72,Greek
72,Vegetarian
73,Asian
73,Chinese
73,Comfort Food
74,Mediterranean
74,Desserts
74,Salads
75,Mediterranean
75,Greek
75,Vegetarian
76,Asian Fusion
76,Seafood
76,Salads
77,Chinese
77,Soup
77,Seafood
78,Indian
78,Vegetarian
78,Asian
79,Vegetarian
79,Vegan
79,Healthy
80,Indian
80,Vegetarian
80,Salads
81,Indian
81,Vegetarian
81,Asian
82,Seafood
82,American
82,Southern
83,Seafood
83,American
83,Drinks
84,Soul Food
84,American
84,Southern
85,Burgers
85,American
85,Sandwiches
85,Comfort Food
85,Southern
86,Seafood
86,American
86,Southern
87,Seafood
87,American
87,Southern
88,American
88,Southern
88,Comfort Food
89,BBQ
89,American
89,Burgers
90,Seafood
90,American
90,Southern
90,Exclusive to Eats
91,Burgers
91,American
91,New American
92,Burgers
92,American
92,Sandwiches
93,Burgers
93,American
93,Sandwiches
94,American
94,Burgers
95,American
95,Exclusive to Eats
96,Burgers
96,American
96,Sandwiches
97,BBQ
97,American
97,Burgers
98,Pizza
98,American
98,Wings
99,American
99,Burgers
99,Exclusive to Eats
100,Wings
100,American
100,Fast Food
101,American
101,Burgers
102,Comfort Food
102,American
102,Wings
103,Wings
103,American
103,Fast Food
104,American
104,Breakfast and Brunch
104,Coffee and Tea
105,American
105,Chicken
105,Sandwiches
106,Mexican
106,Breakfast and Brunch
106,Soup
107,Comfort Food
107,American
107,Burgers
108,Mexican
108,Latin American
108,New Mexican
109,American
109,Sandwiches
109,Burgers
110,American
110,Deli
110,Sandwiches
111,Pizza
111,American
111,Italian
112,Breakfast and Brunch
112,American
112,Coffee and Tea
113,American
